filename,title,url
LNG Gaming：Warhammer Online - Wrath of Heroes 遊戲介紹_combined.txt,LNG Gaming：Warhammer Online - Wrath of Heroes 遊戲介紹,https://www.youtube.com/watch?v=TTg6DRPd0yI
LNG 日常：大家的信我們有看_combined.txt,LNG 日常：大家的信我們有看,https://www.youtube.com/watch?v=_wUz3YL-MmI
LNG 日常：為什麼肋排附的是奶油刀_combined.txt,LNG 日常：為什麼肋排附的是奶油刀,https://www.youtube.com/watch?v=W7_INyTVBBg
LNG日常：KTV及時唱噗浪點歌   印度公園_combined.txt,LNG日常：KTV及時唱噗浪點歌   印度公園,https://www.youtube.com/watch?v=8JbQpotBUWk
LNG日常：KTV及時唱噗浪點歌   店斯_combined.txt,LNG日常：KTV及時唱噗浪點歌   店斯,https://www.youtube.com/watch?v=k001Mlfc4nk
【LNG 日常】拼人臉遊戲#1_combined.txt,【LNG 日常】拼人臉遊戲#1,https://www.youtube.com/watch?v=owb11oWqSoA
【LNG】2014⧸12⧸21 關鍵性普羅王大戰 (Part 16)_combined.txt,【LNG】2014⧸12⧸21 關鍵性普羅王大戰 (Part 16),https://www.youtube.com/watch?v=iKE9FjqPOP4
【LNG】2023JUL 潮東沒有按摩椅可以啟動_combined.txt,【LNG】2023JUL 潮東沒有按摩椅可以啟動,https://www.youtube.com/watch?v=dPEXu6wXNRM
【LNG】2025APR 唐阿婆與祝英台七個包子增好ㄘ真冰娘_combined.txt,【LNG】2025APR 唐阿婆與祝英台七個包子增好ㄘ真冰娘,https://www.youtube.com/watch?v=BljvJ7uRYac
【LNG】2025AUG 你知道我是誰嗎 在我身邊這位的可是 教魔法的兔子長老 染_combined.txt,【LNG】2025AUG 你知道我是誰嗎 在我身邊這位的可是 教魔法的兔子長老 染,https://www.youtube.com/watch?v=f8Z0MyhCCT4
【LNG】2025JUL 新之谷懷舊服登入就送畏寒BUFF 是我先看到的 豬邏輯公園_combined.txt,【LNG】2025JUL 新之谷懷舊服登入就送畏寒BUFF 是我先看到的 豬邏輯公園,https://www.youtube.com/watch?v=nmC1EDHzUxc
【LNG】2025JUN 襁褓時期仰睡多 Robert Gao Jordan 擋一根4B也太濃了吧_combined.txt,【LNG】2025JUN 襁褓時期仰睡多 Robert Gao Jordan 擋一根4B也太濃了吧,https://www.youtube.com/watch?v=gTxyHEyam3c
【LNG】2025MAY 醬料總裁突進風 Lapibulako Lakobulapi 志翔心中還有夢_combined.txt,【LNG】2025MAY 醬料總裁突進風 Lapibulako Lakobulapi 志翔心中還有夢,https://www.youtube.com/watch?v=dMna5IWmxpM
【LNG】2025OCT 10月大家在幹嘛啊_combined.txt,【LNG】2025OCT 10月大家在幹嘛啊,https://www.youtube.com/watch?v=_K6r6Bt3mvc
【LNG】2025SEP 噁之呼吸一之型 紫色惡魔 我看到你了啦_combined.txt,【LNG】2025SEP 噁之呼吸一之型 紫色惡魔 我看到你了啦,https://www.youtube.com/watch?v=0ZIJOANAbko
【LNG小劇場】遇到的糗事_combined.txt,【LNG小劇場】遇到的糗事,https://www.youtube.com/watch?v=uk57aD1HTe0
