title,url,status
【LNG】2025OCT 10月大家在幹嘛啊,https://www.youtube.com/watch?v=_K6r6Bt3mvc,completed
【LNG】2025SEP 噁之呼吸一之型 紫色惡魔 我看到你了啦,https://www.youtube.com/watch?v=0ZIJOANAbko,completed
【LNG】2025AUG 你知道我是誰嗎 在我身邊這位的可是 教魔法的兔子長老 染,https://www.youtube.com/watch?v=f8Z0MyhCCT4,completed
【LNG】2025JUL 新之谷懷舊服登入就送畏寒BUFF 是我先看到的 豬邏輯公園,https://www.youtube.com/watch?v=nmC1EDHzUxc,completed
【LNG】2025JUN 襁褓時期仰睡多 Robert Gao Jordan 擋一根4B也太濃了吧,https://www.youtube.com/watch?v=gTxyHEyam3c,completed
【LNG】2025MAY 醬料總裁突進風 Lapibulako Lakobulapi 志翔心中還有夢,https://www.youtube.com/watch?v=dMna5IWmxpM,completed
【LNG】2025APR 唐阿婆與祝英台七個包子增好ㄘ真冰娘,https://www.youtube.com/watch?v=BljvJ7uRYac,completed
【LNG】2025MAR 鳥屎開新店 八老爺天帝養生會館 火力障大學 黃金高陽 到畜成親,https://www.youtube.com/watch?v=k2R5JguoIq8,completed
【LNG】2025FEB Leggy 跟鳥屎不在我們真的沒幹嘛,https://www.youtube.com/watch?v=B7sncloYevg,completed
【LNG】2025JAN 全脂龍豬dragon安ㄊㄨㄞˋ歲跪求聽ASMRO~痛苦,https://www.youtube.com/watch?v=NrLBdFK4C90,completed
【LNG】2024DEC 何爸爸 郭爸爸 不要再訂閱了,https://www.youtube.com/watch?v=25C7LmflSuY,completed
【LNG】2024NOV 買東童蛇欸Ｑ咪飽倒豬村釜山論劍VIPIG搶先看,https://www.youtube.com/watch?v=x9EZA_Pj9Pc,completed
"【LNG】2024OCT 孝文帝應該可以拿到銀鉻獎盃, 窩～～～～!!!!",https://www.youtube.com/watch?v=rTdcPLyCS8Q,completed
【LNG】2024SEP 蛤鳥屎不在八毛跳三振舞小六是推擠,https://www.youtube.com/watch?v=ObWu1iTOFyE,completed
【LNG】2024AUG MBTI怪人之面癌大丈夫,https://www.youtube.com/watch?v=PoJSrmTChOk,completed
【LNG】2024JUL 七百公斤粉紅色彗星猩猩警官跟烤肉怪人騎GO SHARE去野餐吃果皮,https://www.youtube.com/watch?v=xNjDIMRtRk0,completed
【LNG】2024JUN Im OK 煥龍彭膯火 gwenchana 害羞變色龍在安森 拎拎拎拎拎~,https://www.youtube.com/watch?v=_JtAStmfaXE,completed
【LNG】2024MAY 北東北東維珍銀河敢不敢漲起來賠一百萬這集好無聊,https://www.youtube.com/watch?v=QHQWpvjIhtY,completed
【LNG】2024APR 我就想在公司吹冷氣我就想吃員工餐我就想去義大利玩,https://www.youtube.com/watch?v=LB7Sb6iae0Y,completed
【LNG】2024MAR 雞癌救極JAM主義的爛洞兄弟在宮鬥被挖穿了,https://www.youtube.com/watch?v=3VbYVGd_G4s,completed
【LNG】2024FEB Phantom P  a.k.a.  飯桶豬 為大家帶來一首新單曲 一隻豬 吃 一隻雞,https://www.youtube.com/watch?v=inEQiiO6HQs,completed
【LNG】2024JAN 小六重大發表要跟李迅吃一百萬個摩斯雞塊加一個荷包Dayum 格~,https://www.youtube.com/watch?v=hhC5kf4tef0,completed
【LNG】2023DEC 2023假跨年你點一下,https://www.youtube.com/watch?v=FtggG3Zx2wI,completed
【LNG】2023NOV 是誰打翻了咖啡,https://www.youtube.com/watch?v=TSzsOTHf29c,completed
【LNG】2023OCT  阿里山的姑娘在莫三比克說八毛你在哪,https://www.youtube.com/watch?v=YlMo6GX6LXo,completed
【LNG】2023SEP 艾姆賴雅的血刃科技，烏咖哩！,https://www.youtube.com/watch?v=c26p2qOTk8Q,completed
【LNG】2023AUG 86不存在的豬皮哀,https://www.youtube.com/watch?v=p7j50YA7bBw,completed
【LNG】2023JUL 潮東沒有按摩椅可以啟動,https://www.youtube.com/watch?v=dPEXu6wXNRM,pending
【LNG】2023JUN 買股票中指痛可以去猓玀苑捉i嗎,https://www.youtube.com/watch?v=swj0dLu88Zw,pending
【LNG】2023MAY 想跟奧迪亞抽大惡魔我推的痔瘡,https://www.youtube.com/watch?v=2dhfgXEOafw,pending
【LNG】2023APR 我一定會dra到你三重爆蛋幫白吃喔我沒有拔毛,https://www.youtube.com/watch?v=NIKtpA3bP-w,pending
【LNG】2023MAR 硬性龜定 我ㄘ PITA,https://www.youtube.com/watch?v=s1e-lwWIxFI,pending
【LNG】2023FEB 劣質染髮Turtle G 大戰白龍西薩餅,https://www.youtube.com/watch?v=QSOjzrKnSYM,pending
【LNG】2023JAN 蟾蜍山的拔剌粉只要五十塊鵝乙,https://www.youtube.com/watch?v=KYjiFC2SHwA,pending
【LNG】2022DEC GDWSLLHH,https://www.youtube.com/watch?v=H2L8my3PtAw,pending
【LNG】2022NOV B43Q的戰鬥還在繼續，鳥屎不在,https://www.youtube.com/watch?v=xVNkbLI2l5g,pending
【LNG】2022OCT 展邱喝蟑螂奶之後屎來則靈我們會以他為榮,https://www.youtube.com/watch?v=mNQwt3nntT4,pending
【LNG】2022SEP 大家好我是Pato哥哥住在健身社區CBD給我把維他命吃下去龍崎區魯夫,https://www.youtube.com/watch?v=bsr4NmSTYVw,pending
【LNG】2022AUG 爪爪爪爪爪,https://www.youtube.com/watch?v=olFIAEvUF5s,pending
【LNG】2022JUL 完兒啦芭比Q with your friend 啦,https://www.youtube.com/watch?v=5fo4PC8aIao,completed
【LNG】2022JUN 鹹豬肉鹹豬肉燦燦燦,https://www.youtube.com/watch?v=O-uRg7HDsS4,pending
【LNG】2022MAY 我又修電腦我又放闢噴出一點史好喜嘿嘿,https://www.youtube.com/watch?v=IOisSFU4mCw,pending
【LNG】2022APR 1+1=2 的問題還想,https://www.youtube.com/watch?v=1SpjDy1h5hU,pending
【LNG】2022MAR 立屎老師大隱形大便 x 冰內褲兩個禮拜伊吼人數與時數9退學再見,https://www.youtube.com/watch?v=EYxWDV1htKo,pending
